"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"15665","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1990","Before 2001","March","8","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"509.0","327.0","0.64243614900000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15666","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1990","Before 2001","October","9","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"506.0","361.0","0.71343873499999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15667","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1991","Before 2001","October","10","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"498.0","337.0","0.67670682699999996",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15668","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1992","Before 2001","May","11","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"476.0","252.0","0.52941176499999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15669","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1992","Before 2001","October","12","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"483.0","300.0","0.62111801200000005",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15670","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1994","Before 2001","October","13","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"460.0","177.0","0.384782609",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15671","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"1997","Before 2001","November","14","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"489.0","125.0","0.255623722",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15672","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"2000","Before 2001","November","15","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"540.0","23.0","4.2592592999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15673","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","ASUBENDE (0424)","-1.1599999999999999","7.9100000000000001","Village","1",null,null,null,"2004","2001 - 2005","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"663.0","51.0","7.6923077000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15674","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"ASUBENDE (AHODWO - BUIPE)",null,null,"Village","99",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"44.0","5.0","0.113636364",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15675","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KADJEBI","21566","Kadjebi","21566","ASUBOE","0.44","7.6799999999999997","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"571.0","403.0","0.70577933500000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216921566"
"15676","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","EJURA SEKYIDUMASI","21397","Ejura Sekyedumase","21397","Asuboi","-1.6590100000000001","7.24275","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"140.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216121397"
"15677","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","AHAFO ANO NORTH","21382","Ahafo Ano North","21382","ASUHIAE","-2.3008899999999999","6.9361600000000001","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"400.0","53.0","0.13250000000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216121382"
"15678","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","AHAFO ANO NORTH","21382","Ahafo Ano North","21382","ASUHIAE","-2.3008899999999999","6.9361600000000001","Village","1",null,null,null,"2001","2001 - 2005","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"400.0","12.0","2.9999999999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121382"
"15679","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","ASUKAWKAW","0.36658299999999999","7.6824702","Village","1",null,null,null,"1978","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"355.0","257.0","0.72394366200000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15680","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","ASUKAWKAW","0.36658299999999999","7.6824702","Village","1",null,null,null,"1992","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"724.0","451.0","0.62292817700000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15681","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","ASUTIFI SOUTH","21412","Asutifi South","21412","Asukese","-2.5147506000000002","6.9425530000000002","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"112.0","2.0","1.7857142999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221412"
"15682","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","SUNYANI WEST","21430","Sunyani West","21430","ASUOFRI","-2.2705799999999998","7.5134299999999996","Village","1",null,null,null,"1980","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"175.0","17.0","9.7142856999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221430"
"15683","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO NORTH","21432","Tano North","21432","ASUWEDEY  I","-2.2599999999999998","7.1600000000000001","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"237.0","123.0","0.51898734199999996",null,"",null,"APOC","APOC Trust Fund","AGHA0216221432"
"15684","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO NORTH","21432","Tano North","21432","ASUWEDEY  I","-2.2599999999999998","7.1600000000000001","Village","1",null,null,null,"1996","Before 2001","February","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"210.0","62.0","0.29523809499999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216221432"
"15685","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO NORTH","21432","Tano North","21432","ASUWEDEY  I","-2.2599999999999998","7.1600000000000001","Village","1",null,null,null,"2001","2001 - 2005","April","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"318.0","100.0","0.31446540899999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216221432"
"15686","AFRO","Western Africa","Ghana","20","GH","GHA","EASTERN","2164","UPPER MANYA KROBO","21482","Upper Manya Krobo","21482","Aterporponya","-7.9722199999999993E-2","6.2632500000000002","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"101.0","1.0","9.9009900000000001E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216421482"
"15687","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KADJEBI","21566","Kadjebi","21566","ATTA-KOFFI","0.47999999999999998","7.7300000000000004","Village","1",null,null,null,"1978","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"234.0","132.0","0.56410256400000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216921566"
"15688","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KADJEBI","21566","Kadjebi","21566","ATTA-KOFFI","0.47999999999999998","7.7300000000000004","Village","1",null,null,null,"1992","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"169.0","69.0","0.40828402400000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216921566"
"15689","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KADJEBI","21566","Kadjebi","21566","ATTA-KOFFI","0.47999999999999998","7.7300000000000004","Village","1",null,null,null,"2000","Before 2001","April","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"176.0","2.0","0.011363636",null,"",null,"APOC","APOC Trust Fund","AGHA0216921566"
"15690","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AUETE ABUDUBUDU","0.33000000000000002","7.0800000000000001","Village","1",null,null,null,"1989","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","91.0","0.65942029000000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15691","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AUETE ABUDUBUDU","0.33000000000000002","7.0800000000000001","Village","1",null,null,null,"2000","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"86.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15692","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Averti",null,null,"Village","99",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"70.0","2.0","2.8571428999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15693","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AVETI","0.33000000000000002","6.9199999999999999","Village","1",null,null,null,"1986","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","91.0","0.68421052599999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15694","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AVETI","0.33000000000000002","6.9199999999999999","Village","1",null,null,null,"1998","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15695","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AVETI","0.33000000000000002","6.9199999999999999","Village","1",null,null,null,"2002","2001 - 2005","December","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"42.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15696","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KPANDU","21570","Kpando","21570","AVETI (MAJI MAJI II)","0.33000000000000002","6.9199999999999999","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"70.0","2.0","2.8571428999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921570"
"15697","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"AWATE TODZI (AGADOME",null,null,"Village","99",null,null,null,"1989","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"114.0","8.0","7.0175439000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15698","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO","21402","Offinso","21402","AYENSUA KORKOR","-1.6699999999999999","6.9000000000000004","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"261.0","15.0","5.7471264000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121402"
"15699","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO","21402","Offinso","21402","Ayensuakorkor","-1.6658333000000001","6.9063499999999998","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"106.0","3.0","2.8301887000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121402"
"15700","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO","21402","Offinso","21402","AYENSUAKORKOR","-1.6699999999999999","6.9000000000000004","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"103.0","3.0","2.9126214000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121402"
"15701","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Ayerafie Battor (Tokurano)","0.27984999999999999","7.7553666999999997","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"85.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15702","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","AYEREDE","-1.646533","7.4852765999999997","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"94.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15703","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","AYEREM","0.20999999999999999","7.9299999999999997","Village","1",null,null,null,"1998","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"123.0","1.0","8.1300810000000008E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15704","AFRO","Western Africa","Ghana","20","GH","GHA","EASTERN","2164","BIRIM SOUTH","21466","Birim South","21466","Ayesukrom","-1.1764167000000001","5.9491110999999997","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"129.0","6.0","4.6511627999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216421466"
"15705","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"AYIRAFIE BATTOR","0.26000000000000001","7.75","Village","1",null,null,null,"1998","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"267.0","7.0","2.6217227999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15706","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","Ayirede","-1.6453","7.4852667000000004","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"93.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15707","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","AYIREDE","-1.53","7.5","Village","1",null,null,null,"1980","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"262.0","84.0","0.32061068700000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15708","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","AYIREDE","-1.53","7.5","Village","1",null,null,null,"2000","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"184.0","2.0","1.0869564999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15709","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","AYIREDE","-1.53","7.5","Village","1",null,null,null,"2004","2001 - 2005","September","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"139.0","4.0","2.8776978000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15710","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","WASSA AMENFI WEST","21603","Wassa Amenfi West","21603","Ayirekrom","-2.4494400000000001","5.7698099999999997","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"70.0","6.0","8.5714286000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021603"
"15711","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"AYISOKOPE","0.28000000000000003","7.7599999999999998","Village","1",null,null,null,"1998","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"79.0","5.0","6.3291138999999996E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15712","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","AYISOKOPE","0.35704999999999998","7.7894199999999998","Village","1",null,null,null,"2010","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"75.0","4.0","5.3333332999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"15713","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"AYRAFIE BATTOR",null,null,"Village","99",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"85.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15714","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Babator","-1.81813","8.2511899999999994","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"93.0","13.0","0.13978494599999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15715","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","YENDI","21528","Yendi","21528","BACHINDIYA","-5.9999999999999998E-2","9.5","Village","1",null,null,null,"1999","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"100.0","4.0","4.0000000000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621528"
"15716","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","Bachongsa","-1.4923500000000001","10.68215","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"69.0","1.0","0.014492754",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"15717","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","Bachumuru","-0.96752780000000005","7.9587500000000002","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"151.0","19.0","0.12582781500000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15718","AFRO","Western Africa","Ghana","20","GH","GHA","CENTRAL","2163","UPPER DENKYIRA EAST","21456","Upper Denkyira East","21456","Badua No,1","-1.6314900000000001","5.9250299999999996","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"96.0","5.0","5.2083333000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216321456"
"15719","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","BANDA","21414","Banda","21414","Baffour Akura","-2.1695500000000001","8.1878832999999993","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"56.0","23.0","0.41071428599999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216221414"
"15720","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","LAWRA","21547","Lawra","21547","BAGHARI","-2.9171743999999999","10.7190175","Village","1",null,null,null,"1996","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"137.0","1.0","7.2992700000000001E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216821547"
"15721","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","LAWRA","21547","Lawra","21547","Bagri","-2.9163299999999999","10.72142","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"42.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821547"
"15722","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","LAWRA","21547","Lawra","21547","Bagri(F/Camp)","-2.9163299999999999","10.72142","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"119.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821547"
"15723","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Bale","-2.59687","9.0798100000000002","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"120.0","2.0","0.016666667",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15724","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1976","Before 2001","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"259.0","160.0","0.61776061800000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15725","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1980","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"194.0","100.0","0.51546391800000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15726","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1983","Before 2001","February","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"158.0","65.0","0.41139240500000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15727","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1986","Before 2001","February","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"182.0","26.0","0.14285714299999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15728","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1989","Before 2001","January","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"153.0","16.0","0.104575163",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15729","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1992","Before 2001","January","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"103.0","5.0","4.8543689000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15730","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1995","Before 2001","November","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"120.0","3.0","2.5000000000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15731","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","BALE","-2.59687","9.0798100000000002","Village","1",null,null,null,"1998","Before 2001","May","8","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"177.0","10.0","5.6497174999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"15732","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","SISSALA EAST","21550","Sissala East","21550","Bassiesan","-1.5629200000000001","10.80118","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"69.0","2.0","2.8985507000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821550"
"15733","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","SISSALA EAST","21550","Sissala East","21550","BASSISSAN","-1.5800000000000001","10.800000000000001","Village","1",null,null,null,"1999","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"174.0","6.0","3.4482759000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821550"
"15734","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","Bayaa","-0.99913890000000005","8.0220833000000002","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"162.0","5.0","3.0864197999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"15735","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"BAYAA",null,null,"Village","99",null,null,null,"1997","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"155.0","10.0","6.4516129000000005E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"15736","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","BECHAUNSI","-1.48977","10.68524","Village","1",null,null,null,"1976","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"271.0","204.0","0.75276752800000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"15737","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","BECHAUNSI","-1.48977","10.68524","Village","1",null,null,null,"1999","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"270.0","1.0","3.7037039999999999E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
